facility_id,facility_name,facility_other_names,sub_site_name,sub_site_other_names,facility_type,primary_commodity,commodities_products,facility_equipment,production_start,production_end,activity_status,activity_status_year,surface_area_sq_km,concession_area_sq_km,country
COM00190.00,Cadia,,,,Mine,Gold,"Gold, Copper, Silver","Underground, Open pit",,,,,,,Australia
COM00191.00,Cadiz,,,,Mine,Coal,Bituminous coal,Surface,2000.0,,,,,,United States of America
COM00192.00,Cagdianao,,,,Mine,Other (poly)-metallic,Nickel,,,,,,,,Philippines
COM00193.00,Cairn Hill,,,,Mine,Iron,Iron ore,,,,,,,,Australia
COM00194.00,Cajati,,,,Mine,Other mine,Phosphate,Open pit,,,,,,,Brazil
COM00195.00,Callide,,,,Mine,Coal,Thermal coal,,,,,,,,Australia
COM00196.00,Canadian Malartic,,,,Mine,Gold,"Gold, Silver",Open pit,,,,,,,Canada
COM00197.00,Candelaria,,,,Mine,Copper,"Copper, Gold, Silver",Open pit,1993.0,,,,54.22846,,Chile
COM00198.00,Cannington,,,,Mine,Silver,"Silver, Lead, Zinc",Underground,,,,,,,Australia
COM00199.00,CAP Acero,"Compañía Siderúrgica Huachipato S.A., CSH,  CAP Talcahuano Steel plant",,,"Smelter, Refinery",Processing,"Crude steel, rolled slabs, rolled plates","Blast furnace, steel mill",,,,,,,Chile
COM00200.00,CAP Huasco Pellet Plant,,,,Refinery,Processing,Iron ore pellets,Pelletizing plant,1987.0,,,,,,Chile
COM00201.00,Capcoal,,,,Mine,Coal,"Metallurgical coal, Thermal coal",,,,,,,,Australia
COM00202.00,Carbones del Guasare,,,,Mine,Coal,Coal,,,,,,,,Venezuela
COM00203.00,Carborough Downs,,,,Mine,Coal,Metallurgical coal,,,,,,,,Australia
COM00204.00,Cardinal River,,,,Mine,Coal,Coal,Surface,,,,,,,Canada
COM00205.00,Carlin,,,,Mine,Gold,Gold,"Open pit, Underground, grinding circuit, roasting circuit, carbon-in leach circuit",1983.0,,,,,,United States of America
COM00206.00,Carlota,,,,Mine,Copper,Copper,Open pit,,,,,,,United States of America
COM00207.00,Carmen de Andacollo,,,,Mine,Copper,"Copper, Gold",Open pit,,,,,,,Chile
COM00208.00,Carosue Dam,CDO,,,Mine,Gold,Gold,,2010.0,,,,,,Australia
COM00209.00,Carrapateena,,,,Mine,Other mine,"Copper, Gold",Underground,2019.0,,,,,,Australia
COM00210.00,Casa de Pedra,,,,Mine,Iron,Iron,Open pit,1913.0,,,,,,Brazil
COM00211.00,Casposo,,,,Mine,Gold,"Gold, Silver","Underground, Open pit",,,,,,,Argentina
COM00212.00,Catalao,,,,Mine,Other (poly)-metallic,Niobium,,,,,,,,Brazil
COM00213.00,Catalao Phosphate,,,,"Mine, Refinery",Other mine,Phosphate,Open pit,,,,,,,Brazil
COM00214.00,Cato Ridge,Cato Ridge Works,,,Smelter,Processing,Ferromanganese,,,,,,,,South Africa
COM00215.00,Caval Ridge,,,,Mine,Coal,Metallurgical bituminous coal,Open pit,2014.0,,,,,,Australia
COM00216.00,Cayeli,,,,Mine,Copper,"Copper, Zinc",,,,,,,,Turkey
COM00217.00,CBG Sangaredi,Boke,,,Mine,Aluminium,Bauxite,,1973.0,,,,,,Guinea
COM00218.00,Cedynia Wire Rod Plant,,,,Refinery,Processing,Copper wire rod,,,,,,,,Poland
COM00219.00,CEMESA,"CEMESA Unit, Cerro del Mercado",,,Mine,Iron,Iron ore,Open pit,,,,,,,Mexico
COM00220.00,Centinela,,,,Mine,Copper,"Copper, Copper cathodes, Molybdenum, Gold, Silver",SX-EW,,,,,,,Chile
COM00221.00,Central Coalfields Limited,CCL,,,Mine,Coal,"Coking coal, Thermal coal","Open pit, Underground",,,,,,,India
COM00222.00,Central GOK,"CGOK, JSC Central Mining and Processing Works, TsGok",,,Mine,Iron,Iron,"Open pit, Underground",,,,,,,Ukraine
COM00223.00,Central Murchison Gold Project,"CMGP, Big Bell Gold Operations Pty Ltd",,,Mine,Gold,Gold,"Underground, Open pit, Carbon-in-pulp plant",,,,,,,Australia
COM00224.00,Century,,,,Mine,Zinc,"Lead, Zinc, Silver",Open pit,1999.0,2016.0,,,,,Australia
COM00225.00,Cerrejon,,,,Mine,Coal,Thermal bituminous coal,Open pit,1976.0,,,,,,Colombia
COM00226.00,Cerro Bayo,Fachinal,,,Mine,Gold,"Gold, Silver",,1995.0,,,,,,Chile
COM00227.00,Cerro de Pasco,Cerro de Pasco UEA,,,Mine,Zinc,"Zinc, Silver, Lead, Copper, Gold","Open pit, Underground, Leaching plant",,,,,,,Peru
COM00228.00,Cerro Matoso,CMSA,,,"Mine, Smelter",Nickel,Nickel,,,,,,,,Colombia
COM00229.00,Cerro Moro,,,,Mine,Gold,"Gold, Silver, Copper","Open pit, Underground",2018.0,,,,,,Argentina
COM00230.00,Cerro Negro,,,,Mine,Gold,"Gold, Silver","Open pit, underground",2014.0,,,,,215.48000000000002,Argentina
COM00231.00,Cerro Negro Norte,Copiapo Valley,,,Mine,Iron,Iron ore,,2014.0,,,,,,Chile
COM00232.00,Cerro Vanguardia,,,,Mine,Gold,Gold,,,,,,,,Argentina
COM00233.00,Cerro Verde,,,,Mine,Copper,"Copper, Molybdenum, Silver","Open pit, SX-EW",1976.0,,,,,736.5358,Peru
COM00234.00,Chagres,,,,Smelter,Processing,Copper,,,,,,,,Chile
COM00235.00,Chaijiagou,Shaanxi Jihua Chaijiagou Mining Co.,,,Mine,Coal,Coal,,,,,,,,China
COM00236.00,Chain Valley,,,,Mine,Coal,Thermal coal,Underground,,,,,,,Australia
COM00237.00,Chalco Chongqing Branch,,,,Refinery,Processing,Alumina,,2010.0,,,,,,China
COM00238.00,Chalco Henan Branch,"Chalco Mining, Chalco Mining Branch, Henan plant",,,"Refinery, Smelter",Processing,"Alumina, Aluminium",,1966.0,,,,,,China
COM00239.00,Chalco Qinghai Branch,Qinghai plant,,,Smelter,Processing,Aluminium,,1987.0,,,,,,China
COM00240.00,Chalco Shandong Branch,,,,"Refinery, Smelter",Processing,"Alumina, Aluminium",,1954.0,,,,,,China
COM00241.00,Chalco Shanxi Other Mines,,,,Region,Aluminium,Bauxite,,,,,,,,China
COM00242.00,Chanderiya Smelter,,,,"Smelter, Refinery",Processing,"Lead, Zinc, Silver, Sulphuric acid","Pyrometallurgical lead-zinc smelter, Hydrometallurgical zinc smelter, Power plant, Sulphuric acid plant",,,,,,,India
COM00243.00,Changgou,,,,Mine,Other (poly)-metallic,Manganese,Underground,,,,,,,China
COM00244.00,Chapada,,,,Mine,Copper,"Copper, Gold, Silver",Open pit,2006.0,,,,,,Brazil
COM00245.00,Chapadao,,,,Mine,Other mine,"Niobium, Phosphates",,,,,,,,Brazil
COM00246.00,Charbon,,,,Mine,Coal,Coal,Underground,,,,,,,Australia
COM00247.00,Cheremshansky,,,,Mine,Coal,Coal,Open pit,,,,,,,Russian Federation
COM00248.00,Cherepovets Steel,,,,"Refinery, Smelter",Processing,Steel,"Coke batteries, Sintering machines, Blast furnace,",1955.0,,,,,,Russian Federation
COM00249.00,Chernigovets,,,,Mine,Coal,Thermal coal,,,,,,,,Russian Federation
COM00250.00,Chibuluma South,"Chifupu, Chibuluma Mines plc, Chibuluma",,,Mine,Copper,Copper,"Underground, Open pit",2006.0,,,,,,Zambia
COM00251.00,Chifeng,,,,Refinery,Processing,Zinc,,,,,,,,China
COM00252.00,China Coal Energy,,,,Company,Coal,"Thermal coal, Metallurgical coal",,,,,,,,China
COM00253.00,Chino,,,,Mine,Copper,Copper,"Open pit, SX-EW",1910.0,,,,474.70137,,United States of America
COM00254.00,Chirano,,,,Mine,Gold,"Gold, Silver",Underground,,,,,,,Ghana
COM00255.00,Chongli,Hebei Chongli Zijin Mining Company Limited,,,Mine,Gold,Gold,,,,,,,,China
COM00256.00,Chotia,,,,Mine,Coal,Thermal coal,Open pit,2006.0,,,,,,India
COM00257.00,Chungar,Chungar UEA,,,Mine,Zinc,"Zinc, Silver, Lead, Copper",Underground,,,,,,,Peru
COM00258.00,Cienega,,,,Mine,Gold,"Silver, Gold, Lead, Zinc",Underground,1992.0,,,,,,Mexico
