id,facility_id,year,material,commodity,mineral_value_tonnes,commodity_value_tonnes,grade_ppm,source_id,comment
40,COM00082.00,2005,O.Mn,Me.Mn,36231000.0,,,filled,
40,COM00082.00,2006,O.Mn,Me.Mn,33995000.0,,,filled,
40,COM00082.00,2007,O.Mn,Me.Mn,32303000.0,,,filled,
40,COM00082.00,2008,O.Mn,Me.Mn,31358000.0,,,filled,
40,COM00082.00,2009,O.Mn,Me.Mn,29355000.0,,,filled,
40,COM00082.00,2010,O.Mn,Me.Mn,27973000.0,,,filled,
40,COM00082.00,2011,O.Mn,Me.Mn,26423000.0,,,filled,
40,COM00082.00,2012,O.Mn,Me.Mn,24358000.0,,,filled,
40,COM00082.00,2013,O.Mn,Me.Mn,22495000.0,,,filled,
40,COM00082.00,2014,O.Mn,Me.Mn,20645000.0,,,filled,
40,COM00082.00,2015,O.Mn,Me.Mn,18950000.0,,,filled,
40,COM00082.00,2016,O.Mn,Me.Mn,17244000.0,,,filled,
40,COM00082.00,2017,O.Mn,Me.Mn,15547000.0,,,filled,
40,COM00082.00,2018,O.Mn,Me.Mn,14128000.0,,,filled,
40,COM00082.00,2019,O.Mn,Me.Mn,13100000.0,,,,
41,COM00084.00,2019,O.bulk,Me.Ag,2510000000.0,,,,
42,COM00084.00,2019,O.bulk,Me.Cu,2535000000.0,,,,
43,COM00084.00,2019,O.bulk,Me.Mo,2510000000.0,,,,
44,COM00086.00,2019,O.Au,Me.Au,32700000.0,19.759617531000004,0.6688379204892967,,
45,COM00087.00,2019,F.coal,,135000000.0,,,,
46,COM00088.00,2007,O.Au,Me.Au,128093000.0,86.72119085700001,0.6803885551200001,,
46,COM00088.00,2016,O.Au,Me.Au,117437000.0,,,filled,
46,COM00088.00,2017,O.Au,Me.Au,95822000.0,,,filled,
47,COM00088.00,2018,O.Au,Me.Au,66650000.0,38.186807481,0.6,,
48,COM00092.00,2014,O.Nb,Me.Nb,1100000.0,,,,
49,COM00093.00,2019,F.coal,,1150000000.0,,,,
50,COM00095.00,2019,F.coal,,30000000.0,,,,
51,COM00100.00,2011,O.Ni,Me.Ni,70566100.0,,,filled,
51,COM00100.00,2012,O.Ni,Me.Ni,69588100.0,,,filled,
51,COM00100.00,2013,O.Ni,Me.Ni,68356400.0,,,filled,
51,COM00100.00,2014,O.Ni,Me.Ni,66357500.0,,,filled,
51,COM00100.00,2015,O.Ni,Me.Ni,63847100.0,,,filled,
51,COM00100.00,2016,O.Ni,Me.Ni,60903500.0,,,filled,
51,COM00100.00,2017,O.Ni,Me.Ni,58272800.0,,,filled,
51,COM00100.00,2018,O.Ni,Me.Ni,52000000.0,682000.0,13100.0,,
51,COM00100.00,2019,O.Ni,Me.Ni,47924400.0,,,filled,
51,COM00100.00,2020,O.Ni,Me.Ni,43726500.0,,,filled,
52,COM00104.00,2015,O.bulk,Me.Ag,658350515.4639175,523.7355176907217,0.8058260943560288,,
53,COM00104.00,2015,O.bulk,Me.Au,658350515.4639175,156.06850806185568,0.2283499484436172,,
54,COM00104.00,2015,O.bulk,Me.Cu,658350515.4639175,2440981.62,,,
55,COM00107.00,2010,O.P,Nm.PO,422444000.0,,,filled,
55,COM00107.00,2011,O.P,Nm.PO,421653000.0,,,filled,
55,COM00107.00,2012,O.P,Nm.PO,419109000.0,,,filled,
55,COM00107.00,2013,O.P,Nm.PO,415900000.0,,,,
56,COM00109.00,2010,F.stc,,269619840.0,,,filled,
56,COM00109.00,2011,F.stc,,267079680.0,,,filled,
56,COM00109.00,2012,F.stc,,261182880.0,,,filled,
56,COM00109.00,2013,F.stc,,254016000.0,,,filled,
56,COM00109.00,2014,F.stc,,246576960.0,,,filled,
56,COM00109.00,2015,F.stc,,238956480.0,,,filled,
56,COM00109.00,2016,F.stc,,231789600.0,,,filled,
56,COM00109.00,2017,F.stc,,225167040.0,,,filled,
56,COM00109.00,2018,F.stc,,218544480.0,,,filled,
56,COM00109.00,2019,F.stc,,212284800.0,,,,
57,COM00110.00,2012,O.Au,Me.Au,38472000.0,,,filled,
57,COM00110.00,2013,O.Au,Me.Au,35104000.0,,,filled,
57,COM00110.00,2014,O.Au,Me.Au,31013000.0,,,filled,
57,COM00110.00,2015,O.Au,Me.Au,26467000.0,,,filled,
57,COM00110.00,2016,O.Au,Me.Au,22148000.0,,,filled,
57,COM00110.00,2017,O.Au,Me.Au,17815000.0,,,filled,
57,COM00110.00,2018,O.Au,Me.Au,14300000.0,34.8699134499,2.676223776223776,,
58,COM00113.00,2007,F.coc,,32669320.0,,,filled,
58,COM00113.00,2008,F.coc,,32633261.0,,,filled,
58,COM00113.00,2009,F.coc,,32150774.0,,,filled,
58,COM00113.00,2010,F.coc,,31469940.0,,,filled,
58,COM00113.00,2011,F.coc,,30579618.0,,,filled,
58,COM00113.00,2012,F.coc,,29574720.0,,,filled,
58,COM00113.00,2013,F.coc,,28576800.0,,,filled,
58,COM00113.00,2014,F.coc,,27578880.0,,,filled,
